epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1051.53,0.90716,2.74175,1.15187,0.88262,0.25591,0.37682,0.28071,0.888,3.03136,1.1158,0.000366027,0.000366027,0.000366027
2,1594.21,0.94362,1.53681,1.12821,0.70689,0.52308,0.49674,0.35098,0.89764,2.02801,1.21334,0.000699911,0.000699911,0.000699911
3,2078.27,0.96385,1.39399,1.13815,0.66785,0.45843,0.46606,0.31565,1.03235,2.52073,1.21309,0.000997131,0.000997131,0.000997131
4,2541.55,0.95795,1.2823,1.14396,0.8319,0.42436,0.54332,0.39782,0.89592,1.65662,1.12713,0.000946016,0.000946016,0.000946016
5,2994.58,0.90163,1.181,1.11031,0.75958,0.57169,0.58334,0.42392,0.82961,1.34849,1.14374,0.000891022,0.000891022,0.000891022
6,3437.03,0.8816,1.07238,1.10803,0.75009,0.57856,0.58368,0.42688,0.87034,1.37509,1.10992,0.000836027,0.000836027,0.000836027
7,3888.42,0.86274,1.01503,1.09764,0.80472,0.56103,0.62097,0.47215,0.79731,1.15466,1.09117,0.000781033,0.000781033,0.000781033
8,4325.64,0.85922,0.97326,1.08968,0.70373,0.57967,0.586,0.43125,0.86279,1.30943,1.1204,0.000726038,0.000726038,0.000726038
9,4746.58,0.80741,0.90165,1.07692,0.80886,0.59933,0.61916,0.47074,0.7818,1.00098,1.06206,0.000671044,0.000671044,0.000671044
10,5157.95,0.803,0.88474,1.07747,0.77658,0.61324,0.62162,0.46951,0.81142,1.00858,1.10488,0.000616049,0.000616049,0.000616049
11,5566.37,0.70985,0.87487,1.04171,0.78856,0.63122,0.63603,0.47326,0.79391,0.9442,1.11486,0.000561055,0.000561055,0.000561055
12,35620.8,0.70237,0.81519,1.03355,0.81249,0.6073,0.62516,0.49417,0.70922,0.87757,1.0402,0.00050606,0.00050606,0.00050606
13,36297.2,0.65368,0.76343,1.00591,0.82769,0.58197,0.62512,0.50086,0.69422,0.86763,1.0321,0.000451066,0.000451066,0.000451066
14,36852.1,0.64058,0.72361,0.99598,0.85697,0.59058,0.64623,0.50842,0.70613,0.85884,1.02661,0.000396071,0.000396071,0.000396071
15,37435.2,0.61497,0.66742,0.98972,0.8272,0.6165,0.63952,0.51249,0.66845,0.82993,1.01358,0.000341077,0.000341077,0.000341077
16,42963.1,0.60432,0.65328,0.98786,0.8981,0.59783,0.66124,0.52187,0.69551,0.77764,1.03466,0.000286083,0.000286083,0.000286083
17,44065.3,0.58101,0.61762,0.96253,0.88073,0.59201,0.6594,0.52793,0.66638,0.76807,1.01656,0.000231088,0.000231088,0.000231088
18,44770.2,0.5577,0.58597,0.96615,0.82608,0.62741,0.64443,0.51965,0.64804,0.75896,1.01064,0.000176094,0.000176094,0.000176094
19,45200.3,0.54644,0.55281,0.95779,0.83776,0.61318,0.64898,0.52145,0.65343,0.76551,1.00459,0.000121099,0.000121099,0.000121099
20,45662,0.53419,0.5368,0.946,0.82575,0.63965,0.65248,0.52614,0.63615,0.75104,1.01193,6.61045e-05,6.61045e-05,6.61045e-05
